Site Name;Date;Measured (kWh);Expected (kWh);Performance;PF Band
Shoprite Ekhaya;Aug-25;;20842,2;;
Shoprite Ekhaya;Sept-25;;23841;;
Shoprite Ekhaya;Oct-25;;27285,3;;
Shoprite Ekhaya;Nov-25;;27841,5;;
Shoprite Ekhaya;Dec-25;;28779,3;;
Shoprite Ekhaya;Jan-26;;28380,6;;
Shoprite Ekhaya;Feb-26;;24379,2;;
Shoprite Ekhaya;Mar-26;10022;23351,4;42,9%;Poor
Shoprite Ekhaya;Apr-26;11511,86;19887,3;57,9%;Poor
Shoprite Ekhaya;May-26;14709,43;17745,3;82,9%;Moderate
Shoprite Ekhaya;Jun-26;;15502,5;;
Shoprite Ekhaya;Jul-26;;17358,3;;
Shoprite Ekhaya;Aug-26;;20842,2;;
Shoprite Ekhaya;Sept-26;;23841;;
Shoprite Ekhaya;Oct-26;;27285,3;;
Shoprite Ekhaya;Nov-26;;27841,5;;
Shoprite Ekhaya;Dec-26;;28779,3;;
Shoprite Hillbrow;Jan-24;;20564,65;;
Shoprite Hillbrow;Feb-24;;17491,4;;
Shoprite Hillbrow;Mar-24;;18246,65;;
Shoprite Hillbrow;Apr-24;;15297,85;;
Shoprite Hillbrow;May-24;;14953;;
Shoprite Hillbrow;Jun-24;;13275,3;;
Shoprite Hillbrow;Jul-24;;14678,45;;
Shoprite Hillbrow;Aug-24;;17062,95;;
Shoprite Hillbrow;Sept-24;;18937,3;;
Shoprite Hillbrow;Oct-24;;20481,05;;
Shoprite Hillbrow;Nov-24;;20366,1;;
Shoprite Hillbrow;Dec-24;;21890,85;;
Shoprite Hillbrow;Jan-25;18900;20564,65;91,9%;Expected
Shoprite Hillbrow;Feb-25;13110;17491,4;75,0%;Moderate
Shoprite Hillbrow;Mar-25;11124;18246,65;61,0%;Poor
Shoprite Hillbrow;Apr-25;9398;15297,85;61,4%;Poor
Shoprite Hillbrow;May-25;10507;14953;70,3%;Moderate
Shoprite Hillbrow;Jun-25;8615;13275,3;64,9%;Poor
Shoprite Hillbrow;Jul-25;9297;14678,45;63,3%;Poor
Shoprite Hillbrow;Aug-25;11805;17062,95;69,2%;Poor
Shoprite Hillbrow;Sept-25;12829;18937,3;67,7%;Poor
Shoprite Hillbrow;Oct-25;18800;20481,05;91,8%;Expected
Shoprite Hillbrow;Nov-25;15186;20366,1;74,6%;Moderate
Shoprite Hillbrow;Dec-25;17488,2707;21890,85;79,9%;Moderate
Shoprite Hillbrow;Jan-26;18755;20564,65;91,2%;Expected
Shoprite Hillbrow;Feb-26;15395,7162;17491,4;88,0%;Moderate
Shoprite Hillbrow;Mar-26;11700;18246,65;64,1%;Poor
Shoprite Hillbrow;Apr-26;8798,96;15297,85;57,5%;Poor
Shoprite Hillbrow;May-26;8378,25;14953;56,0%;Poor
Shoprite Hillbrow;Jun-26;;13275,3;;
Shoprite Hillbrow;Jul-26;;14678,45;;
Shoprite Hillbrow;Aug-26;;17062,95;;
Shoprite Hillbrow;Sept-26;;18937,3;;
Shoprite Hillbrow;Oct-26;;20481,05;;
Shoprite Hillbrow;Nov-26;;20366,1;;
Shoprite Hillbrow;Dec-26;;21890,85;;
Shoprite Ladybrand ;Jan-24;;37513,6;;
Shoprite Ladybrand ;Feb-24;;31212,25;;
Shoprite Ladybrand ;Mar-24;;29700,135;;
Shoprite Ladybrand ;Apr-24;;24898,55;;
Shoprite Ladybrand ;May-24;;21981,1;;
Shoprite Ladybrand ;Jun-24;;18982,9;;
Shoprite Ladybrand ;Jul-24;;21551,7;;
Shoprite Ladybrand ;Aug-24;;26041,4;;
Shoprite Ladybrand ;Sept-24;;29888,9;;
Shoprite Ladybrand ;Oct-24;;34705,4;;
Shoprite Ladybrand ;Nov-24;;36881,85;;
Shoprite Ladybrand ;Dec-24;;40110,9;;
Shoprite Ladybrand ;Jan-25;33100;37513,6;88,2%;Moderate
Shoprite Ladybrand ;Feb-25;24950;31212,25;79,9%;Moderate
Shoprite Ladybrand ;Mar-25;24126;29700,135;81,2%;Moderate
Shoprite Ladybrand ;Apr-25;18837;24898,55;75,7%;Moderate
Shoprite Ladybrand ;May-25;22373;21981,1;101,8%;Expected
Shoprite Ladybrand ;Jun-25;18416,6;18982,9;97,0%;Expected
Shoprite Ladybrand ;Jul-25;19123;21551,7;88,7%;Moderate
Shoprite Ladybrand ;Aug-25;22404;26041,4;86,0%;Moderate
Shoprite Ladybrand ;Sept-25;21900;29888,9;73,3%;Moderate
Shoprite Ladybrand ;Oct-25;29612;34705,4;85,3%;Moderate
Shoprite Ladybrand ;Nov-25;26751;36881,85;72,5%;Moderate
Shoprite Ladybrand ;Dec-25;30623,1004;40110,9;76,3%;Moderate
Shoprite Ladybrand ;Jan-26;34009;37513,6;90,7%;Expected
Shoprite Ladybrand ;Feb-26;24602,8829;31212,25;78,8%;Moderate
Shoprite Ladybrand ;Mar-26;23540;29700,135;79,3%;Moderate
Shoprite Ladybrand ;Apr-26;18199,29;24898,55;73,1%;Moderate
Shoprite Ladybrand ;May-26;17860,55;21981,1;81,3%;Moderate
Shoprite Ladybrand ;Jun-26;;18982,9;;
Shoprite Ladybrand ;Jul-26;;21551,7;;
Shoprite Ladybrand ;Aug-26;;26041,4;;
Shoprite Ladybrand ;Sept-26;;29888,9;;
Shoprite Ladybrand ;Oct-26;;34705,4;;
Shoprite Ladybrand ;Nov-26;;36881,85;;
Shoprite Ladybrand ;Dec-26;;40110,9;;
Shoprite Mini Ganyesa;Jan-24;;34074,9;;
Shoprite Mini Ganyesa;Feb-24;;28396,8;;
Shoprite Mini Ganyesa;Mar-24;;28665,9;;
Shoprite Mini Ganyesa;Apr-24;;24411,6;;
Shoprite Mini Ganyesa;May-24;;22266,9;;
Shoprite Mini Ganyesa;Jun-24;;19791,9;;
Shoprite Mini Ganyesa;Jul-24;;21774,6;;
Shoprite Mini Ganyesa;Aug-24;3670;25973,1;14,1%;Poor
Shoprite Mini Ganyesa;Sept-24;24226;28984,5;83,6%;Moderate
Shoprite Mini Ganyesa;Oct-24;29060;33058,8;87,9%;Moderate
Shoprite Mini Ganyesa;Nov-24;28700;34366,5;83,5%;Moderate
Shoprite Mini Ganyesa;Dec-24;32654;36320,4;89,9%;Moderate
Shoprite Mini Ganyesa;Jan-25;31900;34074,9;93,6%;Expected
Shoprite Mini Ganyesa;Feb-25;24980;28396,8;88,0%;Moderate
Shoprite Mini Ganyesa;Mar-25;24068;28665,9;84,0%;Moderate
Shoprite Mini Ganyesa;Apr-25;17329;24411,6;71,0%;Moderate
Shoprite Mini Ganyesa;May-25;19241;22266,9;86,4%;Moderate
Shoprite Mini Ganyesa;Jun-25;18515,91;19791,9;93,6%;Expected
Shoprite Mini Ganyesa;Jul-25;18781;21774,6;86,3%;Moderate
Shoprite Mini Ganyesa;Aug-25;21235;25973,1;81,8%;Moderate
Shoprite Mini Ganyesa;Sept-25;23085;28984,5;79,6%;Moderate
Shoprite Mini Ganyesa;Oct-25;25611;33058,8;77,5%;Moderate
Shoprite Mini Ganyesa;Nov-25;25276;34366,5;73,5%;Moderate
Shoprite Mini Ganyesa;Dec-25;28457,1296;36320,4;78,4%;Moderate
Shoprite Mini Ganyesa;Jan-26;29092;34074,9;85,4%;Moderate
Shoprite Mini Ganyesa;Feb-26;23486,9398;28396,8;82,7%;Moderate
Shoprite Mini Ganyesa;Mar-26;22459;28665,9;78,3%;Moderate
Shoprite Mini Ganyesa;Apr-26;18207,86;24411,6;74,6%;Moderate
Shoprite Mini Ganyesa;May-26;17848,83;22266,9;80,2%;Moderate
Shoprite Mini Ganyesa;Jun-26;;19791,9;;
Shoprite Mini Ganyesa;Jul-26;;21774,6;;
Shoprite Mini Ganyesa;Aug-26;;25973,1;;
Shoprite Mini Ganyesa;Sept-26;;28984,5;;
Shoprite Mini Ganyesa;Oct-26;;33058,8;;
Shoprite Mini Ganyesa;Nov-26;;34366,5;;
Shoprite Mini Ganyesa;Dec-26;;36320,4;;
Shoprite Naledi;Jan-24;;20588,4;;
Shoprite Naledi;Feb-24;;17538,3;;
Shoprite Naledi;Mar-24;;17897,4;;
Shoprite Naledi;Apr-24;;14674,5;;
Shoprite Naledi;May-24;;13272,3;;
Shoprite Naledi;Jun-24;;11571,3;;
Shoprite Naledi;Jul-24;;12990,6;;
Shoprite Naledi;Aug-24;;15871,5;;
Shoprite Naledi;Sept-24;10570;18317,7;57,7%;Poor
Shoprite Naledi;Oct-24;18040;20121,3;89,7%;Moderate
Shoprite Naledi;Nov-24;18800;20573,1;91,4%;Expected
Shoprite Naledi;Dec-24;20883;21930,3;95,2%;Expected
Shoprite Naledi;Jan-25;20300;20588,4;98,6%;Expected
Shoprite Naledi;Feb-25;13100;17538,3;74,7%;Moderate
Shoprite Naledi;Mar-25;12342;17897,4;69,0%;Poor
Shoprite Naledi;Apr-25;10819;14674,5;73,7%;Moderate
Shoprite Naledi;May-25;15169;13272,3;114,3%;Expected
Shoprite Naledi;Jun-25;13081,41;11571,3;113,1%;Expected
Shoprite Naledi;Jul-25;14154;12990,6;109,0%;Expected
Shoprite Naledi;Aug-25;16190;15871,5;102,0%;Expected
Shoprite Naledi;Sept-25;16520;18317,7;90,2%;Expected
Shoprite Naledi;Oct-25;20440;20121,3;101,6%;Expected
Shoprite Naledi;Nov-25;17928;20573,1;87,1%;Moderate
Shoprite Naledi;Dec-25;20527,8823;21930,3;93,6%;Expected
Shoprite Naledi;Jan-26;22071;20588,4;107,2%;Expected
Shoprite Naledi;Feb-26;18965;17538,3;108,1%;Expected
Shoprite Naledi;Mar-26;15865;17897,4;88,6%;Moderate
Shoprite Naledi;Apr-26;13806,89;14674,5;94,1%;Expected
Shoprite Naledi;May-26;13506,85;13272,3;101,8%;Expected
Shoprite Naledi;Jun-26;;11571,3;;
Shoprite Naledi;Jul-26;;12990,6;;
Shoprite Naledi;Aug-26;;15871,5;;
Shoprite Naledi;Sept-26;;18317,7;;
Shoprite Naledi;Oct-26;;20121,3;;
Shoprite Naledi;Nov-26;;20573,1;;
Shoprite Naledi;Dec-26;;21930,3;;
Shoprite Newlands;Jan-24;;30721,5;;
Shoprite Newlands;Feb-24;;24282,9;;
Shoprite Newlands;Mar-24;;24146,1;;
Shoprite Newlands;Apr-24;;18389,7;;
Shoprite Newlands;May-24;;18961,2;;
Shoprite Newlands;Jun-24;;15280,2;;
Shoprite Newlands;Jul-24;;17361,9;;
Shoprite Newlands;Aug-24;;19303,2;;
Shoprite Newlands;Sept-24;;18141,3;;
Shoprite Newlands;Oct-24;;22548,6;;
Shoprite Newlands;Nov-24;;22923,9;;
Shoprite Newlands;Dec-24;;28392,3;;
Shoprite Newlands;Jan-25;;30721,5;;
Shoprite Newlands;Feb-25;;24282,9;;
Shoprite Newlands;Mar-25;;24146,1;;
Shoprite Newlands;Apr-25;;18389,7;;
Shoprite Newlands;May-25;;18961,2;;
Shoprite Newlands;Jun-25;;15280,2;;
Shoprite Newlands;Jul-25;;17361,9;;
Shoprite Newlands;Aug-25;;19303,2;;
Shoprite Newlands;Sept-25;;18141,3;;
Shoprite Newlands;Oct-25;;22548,6;;
Shoprite Newlands;Nov-25;;22923,9;;
Shoprite Newlands;Dec-25;18509;28392,3;65,2%;Poor
Shoprite Newlands;Jan-26;32917;30721,5;107,1%;Expected
Shoprite Newlands;Feb-26;31107;24282,9;128,1%;Expected
Shoprite Newlands;Mar-26;26454;24146,1;109,6%;Expected
Shoprite Newlands;Apr-26;20930,87;18389,7;113,8%;Expected
Shoprite Newlands;May-26;20539,96;18961,2;108,3%;Expected
Shoprite Newlands;Jun-26;;15280,2;;
Shoprite Newlands;Jul-26;;17361,9;;
Shoprite Newlands;Aug-26;;19303,2;;
Shoprite Newlands;Sept-26;;18141,3;;
Shoprite Newlands;Oct-26;;22548,6;;
Shoprite Newlands;Nov-26;;22923,9;;
Shoprite Newlands;Dec-26;;28392,3;;
Shoprite Thokoza;Jan-24;;18584,1;;
Shoprite Thokoza;Feb-24;;16101,9;;
Shoprite Thokoza;Mar-24;;15901,2;;
Shoprite Thokoza;Apr-24;;13660,2;;
Shoprite Thokoza;May-24;;12620,7;;
Shoprite Thokoza;Jun-24;;11094,3;;
Shoprite Thokoza;Jul-24;;12367,8;;
Shoprite Thokoza;Aug-24;;14484,6;;
Shoprite Thokoza;Sept-24;;16189,2;;
Shoprite Thokoza;Oct-24;;18663,3;;
Shoprite Thokoza;Nov-24;;18589,5;;
Shoprite Thokoza;Dec-24;;19022,4;;
Shoprite Thokoza;Jan-25;;18584,1;;
Shoprite Thokoza;Feb-25;;16101,9;;
Shoprite Thokoza;Mar-25;;15901,2;;
Shoprite Thokoza;Apr-25;4166;13660,2;30,5%;Poor
Shoprite Thokoza;May-25;5400;12620,7;42,8%;Poor
Shoprite Thokoza;Jun-25;8687,3;11094,3;78,3%;Moderate
Shoprite Thokoza;Jul-25;7090;12367,8;57,3%;Poor
Shoprite Thokoza;Aug-25;10240;14484,6;70,7%;Moderate
Shoprite Thokoza;Sept-25;11379;16189,2;70,3%;Moderate
Shoprite Thokoza;Oct-25;16828,7;18663,3;90,2%;Expected
Shoprite Thokoza;Nov-25;15461;18589,5;83,2%;Moderate
Shoprite Thokoza;Dec-25;17561;19022,4;92,3%;Expected
Shoprite Thokoza;Jan-26;20127;18584,1;108,3%;Expected
Shoprite Thokoza;Feb-26;16780;16101,9;104,2%;Expected
Shoprite Thokoza;Mar-26;14651;15901,2;92,1%;Expected
Shoprite Thokoza;Apr-26;12498,2;13660,2;91,5%;Expected
Shoprite Thokoza;May-26;11697,82;12620,7;92,7%;Expected
Shoprite Thokoza;Jun-26;;11094,3;;
Shoprite Thokoza;Jul-26;;12367,8;;
Shoprite Thokoza;Aug-26;;14484,6;;
Shoprite Thokoza;Sept-26;;16189,2;;
Shoprite Thokoza;Oct-26;;18663,3;;
Shoprite Thokoza;Nov-26;;18589,5;;
Shoprite Thokoza;Dec-26;;19022,4;;
Spring Glade;Jan-24;9171;16638,665;55,1%;Poor
Spring Glade;Feb-24;8406;14215,06;59,1%;Poor
Spring Glade;Mar-24;9529;15137,31;63,0%;Poor
Spring Glade;Apr-24;8796;13176,87;66,8%;Poor
Spring Glade;May-24;10039;12813,75;78,3%;Moderate
Spring Glade;Jun-24;10175;11578,87;87,9%;Moderate
Spring Glade;Jul-24;10629;12892,545;82,4%;Moderate
Spring Glade;Aug-24;10264;14836,92;69,2%;Poor
Spring Glade;Sept-24;9192;15996,15;57,5%;Poor
Spring Glade;Oct-24;10175;16796,17;60,6%;Poor
Spring Glade;Nov-24;9431;16463,225;57,3%;Poor
Spring Glade;Dec-24;9104;17398,905;52,3%;Poor
Spring Glade;Jan-25;5093;16638,665;30,6%;Poor
Spring Glade;Feb-25;7532;14215,06;53,0%;Poor
Spring Glade;Mar-25;7375;15137,31;48,7%;Poor
Spring Glade;Apr-25;7602;13176,87;57,7%;Poor
Spring Glade;May-25;10378;12813,75;81,0%;Moderate
Spring Glade;Jun-25;10510,45;11578,87;90,8%;Expected
Spring Glade;Jul-25;9750;12892,545;75,6%;Moderate
Spring Glade;Aug-25;10081;14836,92;67,9%;Poor
Spring Glade;Sept-25;11225;15996,15;70,2%;Moderate
Spring Glade;Oct-25;9885;16796,17;58,9%;Poor
Spring Glade;Nov-25;8679;16463,225;52,7%;Poor
Spring Glade;Dec-25;9967;17398,905;57,3%;Poor
Spring Glade;Jan-26;9751;16638,665;58,6%;Poor
Spring Glade;Feb-26;8451;14215,06;59,5%;Poor
Spring Glade;Mar-26;8559;15137,31;56,5%;Poor
Spring Glade;Apr-26;7937,13;13176,87;60,2%;Poor
Spring Glade;May-26;10005,8;12813,75;78,1%;Moderate
Spring Glade;Jun-26;;11578,87;;
Spring Glade;Jul-26;;12892,545;;
Spring Glade;Aug-26;;14836,92;;
Spring Glade;Sept-26;;15996,15;;
Spring Glade;Oct-26;;16796,17;;
Spring Glade;Nov-26;;16463,225;;
Spring Glade;Dec-26;;17398,905;;
TPF Foods ;Jan-24;3404;3784,425;89,9%;Moderate
TPF Foods ;Feb-24;3408;3270,15;104,2%;Expected
TPF Foods ;Mar-24;3131;3533,325;88,6%;Moderate
TPF Foods ;Apr-24;2829;3063,075;92,4%;Expected
TPF Foods ;May-24;3129;3093,825;101,1%;Expected
TPF Foods ;Jun-24;2591;2834,025;91,4%;Expected
TPF Foods ;Jul-24;3122;3103,35;100,6%;Expected
TPF Foods ;Aug-24;2990;3491,55;85,6%;Moderate
TPF Foods ;Sept-24;2990;3723,45;80,3%;Moderate
TPF Foods ;Oct-24;4061;3899,4;104,1%;Expected
TPF Foods ;Nov-24;3991;3732,75;106,9%;Expected
TPF Foods ;Dec-24;3569;4016,175;88,9%;Moderate
TPF Foods ;Jan-25;3838;3784,425;101,4%;Expected
TPF Foods ;Feb-25;2653;3270,15;81,1%;Moderate
TPF Foods ;Mar-25;2925;3533,325;82,8%;Moderate
TPF Foods ;Apr-25;2246;3063,075;73,3%;Moderate
TPF Foods ;May-25;3149;3093,825;101,8%;Expected
TPF Foods ;Jun-25;2654,45;2834,025;93,7%;Expected
TPF Foods ;Jul-25;2863;3103,35;92,3%;Expected
TPF Foods ;Aug-25;3192;3491,55;91,4%;Expected
TPF Foods ;Sept-25;3092;3723,45;83,0%;Moderate
TPF Foods ;Oct-25;3600;3899,4;92,3%;Expected
TPF Foods ;Nov-25;2755;3732,75;73,8%;Moderate
TPF Foods ;Dec-25;3248;4016,175;80,9%;Moderate
TPF Foods ;Jan-26;3546;3784,425;93,7%;Expected
TPF Foods ;Feb-26;3398;3270,15;103,9%;Expected
TPF Foods ;Mar-26;2638;3533,325;74,7%;Moderate
TPF Foods ;Apr-26;2034,35;3063,075;66,4%;Poor
TPF Foods ;May-26;2231,41;3093,825;72,1%;Moderate
TPF Foods ;Jun-26;;2834,025;;
TPF Foods ;Jul-26;;3103,35;;
TPF Foods ;Aug-26;;3491,55;;
TPF Foods ;Sept-26;;3723,45;;
TPF Foods ;Oct-26;;3899,4;;
TPF Foods ;Nov-26;;3732,75;;
TPF Foods ;Dec-26;;4016,175;;
Thakadu Industrial;Jan-24;;0;;
Thakadu Industrial;Feb-24;;0;;
Thakadu Industrial;Mar-24;;0;;
Thakadu Industrial;Apr-24;;0;;
Thakadu Industrial;May-24;;0;;
Thakadu Industrial;Jun-24;;0;;
Thakadu Industrial;Jul-24;;0;;
Thakadu Industrial;Aug-24;;0;;
Thakadu Industrial;Sept-24;;0;;
Thakadu Industrial;Oct-24;;0;;
Thakadu Industrial;Nov-24;;0;;
Thakadu Industrial;Dec-24;;0;;
Thakadu Industrial;Jan-25;;0;;
Thakadu Industrial;Feb-25;;0;;
Thakadu Industrial;Mar-25;;0;;
Thakadu Industrial;Apr-25;;0;;
Thakadu Industrial;May-25;;0;;
Thakadu Industrial;Jun-25;;0;;
Thakadu Industrial;Jul-25;;0;;
Thakadu Industrial;Aug-25;;0;;
Thakadu Industrial;Sept-25;;0;;
Thakadu Industrial;Oct-25;;0;;
Thakadu Industrial;Nov-25;;0;;
Thakadu Industrial;Dec-25;;0;;
Thakadu Industrial;Jan-26;;0;;
Thakadu Industrial;Feb-26;;0;;
Thakadu Industrial;Mar-26;;0;;
Thakadu Industrial;Apr-26;;0;;
Thakadu Industrial;May-26;;0;;
Thakadu Industrial;Jun-26;;0;;
Thakadu Industrial;Jul-26;;0;;
Thakadu Industrial;Aug-26;;0;;
Thakadu Industrial;Sept-26;;0;;
Thakadu Industrial;Oct-26;;0;;
Thakadu Industrial;Nov-26;;0;;
Thakadu Industrial;Dec-26;;0;;
The Alec;Jan-24;6142;7399,8;83,0%;Moderate
The Alec;Feb-24;5738;6298,2;91,1%;Expected
The Alec;Mar-24;5912;6353,1;93,1%;Expected
The Alec;Apr-24;4354;5016,6;86,8%;Moderate
The Alec;May-24;3536;4753,8;74,4%;Moderate
The Alec;Jun-24;2689;4257;63,2%;Poor
The Alec;Jul-24;3106;4730,4;65,7%;Poor
The Alec;Aug-24;4461;5440,5;82,0%;Moderate
The Alec;Sept-24;5033;6345,9;79,3%;Moderate
The Alec;Oct-24;6965;7250,4;96,1%;Expected
The Alec;Nov-24;6934;7330,5;94,6%;Expected
The Alec;Dec-24;7000;7866;89,0%;Moderate
The Alec;Jan-25;5900;7399,8;79,7%;Moderate
The Alec;Feb-25;4280;6298,2;68,0%;Poor
The Alec;Mar-25;4292;6353,1;67,6%;Poor
The Alec;Apr-25;3097;5016,6;61,7%;Poor
The Alec;May-25;3200;4753,8;67,3%;Poor
The Alec;Jun-25;2560,4;4257;60,1%;Poor
The Alec;Jul-25;2823;4730,4;59,7%;Poor
The Alec;Aug-25;4200;5440,5;77,2%;Moderate
The Alec;Sept-25;4566;6345,9;72,0%;Moderate
The Alec;Oct-25;6195,1;7250,4;85,4%;Moderate
The Alec;Nov-25;5304;7330,5;72,4%;Moderate
The Alec;Dec-25;6296;7866;80,0%;Moderate
The Alec;Jan-26;6828;7399,8;92,3%;Expected
The Alec;Feb-26;6062;6298,2;96,2%;Expected
The Alec;Mar-26;4541;6353,1;71,5%;Moderate
The Alec;Apr-26;3743;5016,6;74,6%;Moderate
The Alec;May-26;3041;4753,8;64,0%;Poor
The Alec;Jun-26;2444;4257;57,4%;Poor
The Alec;Jul-26;;4730,4;;
The Alec;Aug-26;;5440,5;;
The Alec;Sept-26;;6345,9;;
The Alec;Oct-26;;7250,4;;
The Alec;Nov-26;;7330,5;;
The Alec;Dec-26;;7866;;
Three Peaks;Jan-24;3510;4274,1;82,1%;Moderate
Three Peaks;Feb-24;3517;3810,6;92,3%;Expected
Three Peaks;Mar-24;3409;3907,275;87,2%;Moderate
Three Peaks;Apr-24;2977;3268,125;91,1%;Expected
Three Peaks;May-24;2754;2929,95;94,0%;Expected
Three Peaks;Jun-24;2322;2664,75;87,1%;Moderate
Three Peaks;Jul-24;3200;2851,125;112,2%;Expected
Three Peaks;Aug-24;1967,434;3237;60,8%;Poor
Three Peaks;Sept-24;2608;3327,75;78,4%;Moderate
Three Peaks;Oct-24;3179;3775,725;84,2%;Moderate
Three Peaks;Nov-24;2499;3829,575;65,3%;Poor
Three Peaks;Dec-24;2419;4315,65;56,1%;Poor
Three Peaks;Jan-25;2940;4274,1;68,8%;Poor
Three Peaks;Feb-25;2482;3810,6;65,1%;Poor
Three Peaks;Mar-25;2660;3907,275;68,1%;Poor
Three Peaks;Apr-25;3014;3268,125;92,2%;Expected
Three Peaks;May-25;3259;2929,95;111,2%;Expected
Three Peaks;Jun-25;2701,4;2664,75;101,4%;Expected
Three Peaks;Jul-25;2990;2851,125;104,9%;Expected
Three Peaks;Aug-25;3504;3237;108,2%;Expected
Three Peaks;Sept-25;3456;3327,75;103,9%;Expected
Three Peaks;Oct-25;4131;3775,725;109,4%;Expected
Three Peaks;Nov-25;3798;3829,575;99,2%;Expected
Three Peaks;Dec-25;4633;4315,65;107,4%;Expected
Three Peaks;Jan-26;5177;4274,1;121,1%;Expected
Three Peaks;Feb-26;3087;3810,6;81,0%;Moderate
Three Peaks;Mar-26;4035;3907,275;103,3%;Expected
Three Peaks;Apr-26;3283;3268,125;100,5%;Expected
Three Peaks;May-26;3208;2929,95;109,5%;Expected
Three Peaks;Jun-26;;2664,75;;
Three Peaks;Jul-26;;2851,125;;
Three Peaks;Aug-26;;3237;;
Three Peaks;Sept-26;;3327,75;;
Three Peaks;Oct-26;;3775,725;;
Three Peaks;Nov-26;;3829,575;;
Three Peaks;Dec-26;;4315,65;;
Trouw Nutrition;Jan-24;;13441,985;;
Trouw Nutrition;Feb-24;11561;12055,125;95,9%;Expected
Trouw Nutrition;Mar-24;11738;12858,46;91,3%;Expected
Trouw Nutrition;Apr-24;307;11531,27;2,7%;Poor
Trouw Nutrition;May-24;1;11785,93;0,0%;Poor
Trouw Nutrition;Jun-24;1;11018,635;0,0%;Poor
Trouw Nutrition;Jul-24;6245;12024,27;51,9%;Poor
Trouw Nutrition;Aug-24;10791;13262,635;81,4%;Moderate
Trouw Nutrition;Sept-24;10127;13540,33;74,8%;Moderate
Trouw Nutrition;Oct-24;12940;13925,295;92,9%;Expected
Trouw Nutrition;Nov-24;12711;13508,37;94,1%;Expected
Trouw Nutrition;Dec-24;12090;14234,525;84,9%;Moderate
Trouw Nutrition;Jan-25;10838;13441,985;80,6%;Moderate
Trouw Nutrition;Feb-25;8901;12055,125;73,8%;Moderate
Trouw Nutrition;Mar-25;9398;12858,46;73,1%;Moderate
Trouw Nutrition;Apr-25;8195;11531,27;71,1%;Moderate
Trouw Nutrition;May-25;6021;11785,93;51,1%;Poor
Trouw Nutrition;Jun-25;4341,56;11018,635;39,4%;Poor
Trouw Nutrition;Jul-25;6989;12024,27;58,1%;Poor
Trouw Nutrition;Aug-25;11205;13262,635;84,5%;Moderate
Trouw Nutrition;Sept-25;10024;13540,33;74,0%;Moderate
Trouw Nutrition;Oct-25;13192;13925,295;94,7%;Expected
Trouw Nutrition;Nov-25;10364;13508,37;76,7%;Moderate
Trouw Nutrition;Dec-25;10702;14234,525;75,2%;Moderate
Trouw Nutrition;Jan-26;12710;13441,985;94,6%;Expected
Trouw Nutrition;Feb-26;12261;12055,125;101,7%;Expected
Trouw Nutrition;Mar-26;11049;12858,46;85,9%;Moderate
Trouw Nutrition;Apr-26;9364,19;11531,27;81,2%;Moderate
Trouw Nutrition;May-26;10132,34;11785,93;86,0%;Moderate
Trouw Nutrition;Jun-26;;11018,635;;
Trouw Nutrition;Jul-26;;12024,27;;
Trouw Nutrition;Aug-26;;13262,635;;
Trouw Nutrition;Sept-26;;13540,33;;
Trouw Nutrition;Oct-26;;13925,295;;
Trouw Nutrition;Nov-26;;13508,37;;
Trouw Nutrition;Dec-26;;14234,525;;
U Save Botrivier ;Jan-24;;7299,9;;
U Save Botrivier ;Feb-24;;6223,5;;
U Save Botrivier ;Mar-24;;6048,9;;
U Save Botrivier ;Apr-24;;5130,9;;
U Save Botrivier ;May-24;;4621,5;;
U Save Botrivier ;Jun-24;;3931,2;;
U Save Botrivier ;Jul-24;;4065,3;;
U Save Botrivier ;Aug-24;;4723,2;;
U Save Botrivier ;Sept-24;;5251,5;;
U Save Botrivier ;Oct-24;;6489,9;;
U Save Botrivier ;Nov-24;;6813,9;;
U Save Botrivier ;Dec-24;;7296,3;;
U Save Botrivier ;Jan-25;;7299,9;;
U Save Botrivier ;Feb-25;;6223,5;;
U Save Botrivier ;Mar-25;;6048,9;;
U Save Botrivier ;Apr-25;;5130,9;;
U Save Botrivier ;May-25;;4621,5;;
U Save Botrivier ;Jun-25;;3931,2;;
U Save Botrivier ;Jul-25;;4065,3;;
U Save Botrivier ;Aug-25;3866;4723,2;81,9%;Moderate
U Save Botrivier ;Sept-25;4249;5251,5;80,9%;Moderate
U Save Botrivier ;Oct-25;5286;6489,9;81,4%;Moderate
U Save Botrivier ;Nov-25;5001;6813,9;73,4%;Moderate
U Save Botrivier ;Dec-25;6707;7296,3;91,9%;Expected
U Save Botrivier ;Jan-26;7171,5;7299,9;98,2%;Expected
U Save Botrivier ;Feb-26;4844;6223,5;77,8%;Moderate
U Save Botrivier ;Mar-26;5410;6048,9;89,4%;Moderate
U Save Botrivier ;Apr-26;2815,5;5130,9;54,9%;Poor
U Save Botrivier ;May-26;2205,5;4621,5;47,7%;Poor
U Save Botrivier ;Jun-26;;3931,2;;
U Save Botrivier ;Jul-26;;4065,3;;
U Save Botrivier ;Aug-26;;4723,2;;
U Save Botrivier ;Sept-26;;5251,5;;
U Save Botrivier ;Oct-26;;6489,9;;
U Save Botrivier ;Nov-26;;6813,9;;
U Save Botrivier ;Dec-26;;7296,3;;
Watt Place Rotoflo;Jan-24;17892;28027,8;63,8%;Poor
Watt Place Rotoflo;Feb-24;15929;23853,6;66,8%;Poor
